date,trade_code,high,low,open,close,volume
10-08-20,1JANATAMF,4.3,4.1,4.2,4.1,"2,285,416"
09-08-20,1JANATAMF,4.3,4.1,4.1,4.2,"1,292,933"
06-08-20,1JANATAMF,4.2,4.1,4.1,4.1,"2,653,824"
05-08-20,1JANATAMF,4.1,4.1,4.1,4.1,"360,439"
04-08-20,1JANATAMF,4.1,4.1,4.1,4.1,"15,217"
03-08-20,1JANATAMF,4.1,4.1,4.1,4.1,"26,205"
30-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"3,737"
29-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"1,803"
28-07-20,1JANATAMF,4.1,4.1,4.1,4.1,1
27-07-20,1JANATAMF,4.1,4.1,4.1,4.1,775
26-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"3,100"
23-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"10,053"
22-07-20,1JANATAMF,0,0,0,4.1,0
21-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"13,100"
20-07-20,1JANATAMF,4.1,4.1,4.1,4.1,460
19-07-20,1JANATAMF,4.1,4.1,4.1,4.1,760
16-07-20,1JANATAMF,4.1,4.1,4.1,4.1,500
15-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"18,276"
14-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"3,330"
13-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"6,088"
12-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"28,600"
09-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"30,075"
08-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"1,255"
07-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"21,005"
06-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"66,485"
05-07-20,1JANATAMF,4.1,4.1,4.1,4.1,"1,500"
02-07-20,1JANATAMF,0,0,0,4.1,0
10-08-20,1STPRIMFMF,16,15.1,15.4,15.2,"1,286,049"
09-08-20,1STPRIMFMF,15.8,14.4,14.7,15.2,"1,949,695"
06-08-20,1STPRIMFMF,15.7,14.3,14.7,14.7,"1,670,068"
05-08-20,1STPRIMFMF,14.6,13.3,13.4,14.6,"2,055,153"
04-08-20,1STPRIMFMF,13.5,13.2,13.4,13.3,"604,707"
03-08-20,1STPRIMFMF,13.7,13.2,13.5,13.3,"712,403"
30-07-20,1STPRIMFMF,13.7,13.2,13.2,13.4,"502,133"
29-07-20,1STPRIMFMF,13.8,13.1,13.8,13.2,"637,044"
28-07-20,1STPRIMFMF,14,13.1,13.5,13.8,"608,118"
27-07-20,1STPRIMFMF,13.8,13.4,13.6,13.5,"711,374"
26-07-20,1STPRIMFMF,14.1,13.5,14,13.8,"472,018"
23-07-20,1STPRIMFMF,14.8,13.7,13.9,13.9,"851,252"
22-07-20,1STPRIMFMF,14.3,13.7,14.2,13.9,"883,202"
21-07-20,1STPRIMFMF,14,12.9,12.9,13.9,"1,661,389"
20-07-20,1STPRIMFMF,13,12.5,12.5,12.8,"462,401"
19-07-20,1STPRIMFMF,13.2,12.4,13.2,12.5,"401,452"
16-07-20,1STPRIMFMF,13.5,13.1,13.5,13.1,"239,767"
15-07-20,1STPRIMFMF,13.6,12.9,13,13.4,"308,142"
14-07-20,1STPRIMFMF,13.4,12.8,13.1,12.9,"280,361"
13-07-20,1STPRIMFMF,13.5,13,13.4,13.2,"478,960"
12-07-20,1STPRIMFMF,13.8,13.1,13.5,13.3,"706,891"
09-07-20,1STPRIMFMF,13.5,12.5,12.5,13.5,"758,711"
08-07-20,1STPRIMFMF,12.4,12,12.3,12.3,"413,561"
07-07-20,1STPRIMFMF,12.4,12.1,12.1,12.2,"239,990"
06-07-20,1STPRIMFMF,12.2,11.9,12,12,"243,674"
05-07-20,1STPRIMFMF,12.3,11.9,12.3,12,"247,495"
02-07-20,1STPRIMFMF,12.2,12,12.1,12.2,"138,041"
10-08-20,AAMRANET,39.5,37.9,38.6,38.8,"342,588"
09-08-20,AAMRANET,38.8,37.9,38.4,38.5,"259,858"
06-08-20,AAMRANET,38,34,37.2,37.6,"156,814"
05-08-20,AAMRANET,38,36.9,38,37,"134,013"
04-08-20,AAMRANET,39,37.4,39,37.7,"275,523"
03-08-20,AAMRANET,38.8,37.9,38.4,38.5,"215,009"
